;-------------------------------- DEFINE SCRIPTOR COMMAND ---------------------------------
#DEFINE CHARACTER
	<INTEGER>		;	Class

	<STRING>		;	Start Map name
	<INTEGER>		;	Start PX
	<INTEGER>		;	Start PY

	<INTEGER>		;	HP
	<INTEGER>		;	SP
	<INTEGER>		;	HP Soul stone count
	<INTEGER>		;	SP Soul stone count

	<INTEGER>		;	Money
	<INTEGER>		;	InitLV
	<STRING> 		;	InitEXP
	#ENDDEFINE

#DEFINE ITEM
	<INTEGER>		;	Class
	<INTEGER>		;	Item ID
	<INTEGER>		;	Item Lot
	#ENDDEFINE

#DEFINE SKILL
	<INTEGER>		;	Class
	<INTEGER>		;	Skill ID
	#ENDDEFINE

#DEFINE QUEST
	<INTEGER>		;	Class
	<INTEGER>		;	Quest ID
	#ENDDEFINE

#DEFINE MAXSHAPE
	<INTEGER>		;	Class
	<INTEGER>		;	Max Face type
	<INTEGER>		;	Max Hair type
	<INTEGER>		;	Max Hair color
	#ENDDEFINE

#DEFINE SHORTCUT
	<INTEGER>		;	Class
	<INTEGER>		;	nSlotNo
	<INTEGER>		;	nCodeNo
	<INTEGER>		;	nValue
	#ENDDEFINE

;----------------------------------- DEFINE DATA -----------------------------------
;	Class:
;	1	=	Fighter
;	6	=	Cleric
;	11	=	Archer
;	16	=	Mage
;	21	=	Joker
;	26	=	Sentinel
;-----------------------------------------------------------------------------------
;				Class	Map		PX		PY		HP		SP		HPSoul	SPSoul	Money	InitLV	InitEXP
CHARACTER		1,		"RouN",	6888,	7045,	52,		10,		15,		7,		0		1		"0"

CHARACTER		6,		"RouN",	6888,	7045,	46,		32,		14,		10,		0		1		"0"

CHARACTER		11,		"RouN",	6888,	7045,	46,		24,		13,		10,		0		1		"0"

CHARACTER		16,		"RouN",	6888,	7045,	42,		46,		11,		15,		0		1		"0"

CHARACTER		21,		"RouN",	6888,	7045,	48,		46,		15,		11,		0		1		"0"

CHARACTER		26,		"Eld",	12259,	13434,	1177,	1,		261,	0,		0		60		"24346145"

;-----------------------------------------------------------------------------------
;			Class	ItemID,	Lot	;	Comment
ITEM		26,		62923,	1	;	Novice Crusader`s Blade
ITEM		26,		62930,	50	;	HP Potion (Tier 4)
ITEM		26,		62931,	10	;	Aim(Tier 3)
ITEM		26,		62932,	10	;	Nature's Agility (Tier 3)
ITEM		26,		62933,	10	;	Magical Defense (Tier 3)
ITEM		26,		62934,	10	;	Shield Increase (Tier 3)
ITEM		26,		62935,	10	;	Concentration Increase (Tier 3)
ITEM		26,		62936,	10	;	Vitality (Tier 3)
ITEM		26,		62937,	10	;	Strength Increase (Tier 3)
ITEM		26,		62938,	10	;	Quickness (Tier 3)
ITEM		26,		62939,	10	;	Protection (Tier 3)

ITEM		1,		46003,	1	;	Damaged Mystery Vault
ITEM		6,		46003,	1	;	Damaged Mystery Vault
ITEM		11,		46003,	1	;	Damaged Mystery Vault
ITEM		16,		46003,	1	;	Damaged Mystery Vault
ITEM		21,		46003, 	1	;	Damaged Mystery Vault
ITEM		26,		46012,	1	;	Blessed Mystery Vault

;-----------------------------------------------------------------------------------
;			Class	Skill ID	;	Comment
SKILL		16,		6000,		;	Magic Missile [01]

SKILL		1,		29200,		;	Use Silver Wing
SKILL		6,		29200,		;	Use Silver Wing
SKILL		11,		29200,		;	Use Silver Wing
SKILL		16,		29200,		;	Use Silver Wing
SKILL		21,		29200,		;	Use Silver Wing
SKILL		26,		29200,		;	Use Silver Wing
SKILL		27,		29200,		;	Use Silver Wing

SKILL		1,		29201,		;	Use Return Scroll
SKILL		6,		29201,		;	Use Return Scroll
SKILL		11,		29201,		;	Use Return Scroll
SKILL		16,		29201,		;	Use Return Scroll
SKILL		21,		29201,		;	Use Return Scroll
SKILL		26,		29201,		;	Use Return Scroll
SKILL		27,		29201,		;	Use Return Scroll

SKILL		1,		29202,		;	Skill Learning
SKILL		6,		29202,		;	Skill Learning
SKILL		11,		29202,		;	Skill Learning
SKILL		16,		29202,		;	Skill Learning
SKILL		21,		29202,		;	Skill Learning
SKILL		26,		29202,		;	Skill Learning
SKILL		27,		29202,		;	Skill Learning

SKILL		1,		29203,		;	Use Potion
SKILL		6,		29203,		;	Use Potion
SKILL		11,		29203,		;	Use Potion
SKILL		16,		29203,		;	Use Potion
SKILL		21,		29203,		;	Use Potion
SKILL		26,		29203,		;	Use Potion
SKILL		27,		29203,		;	Use Potion

SKILL		1,		29204,		;	Open Box
SKILL		6,		29204,		;	Open Box
SKILL		11,		29204,		;	Open Box
SKILL		16,		29204,		;	Open Box
SKILL		21,		29204,		;	Open Box
SKILL		26,		29204,		;	Open Box
SKILL		27,		29204,		;	Open Box

SKILL		1,		29205,		;	Use Scroll
SKILL		6,		29205,		;	Use Scroll
SKILL		11,		29205,		;	Use Scroll
SKILL		16,		29205,		;	Use Scroll
SKILL		21,		29205,		;	Use Scroll
SKILL		26,		29205,		;	Use Scroll
SKILL		27,		29205,		;	Use Scroll

SKILL		1,		29206,		;	Riding
SKILL		6,		29206,		;	Riding
SKILL		11,		29206,		;	Riding
SKILL		16,		29206,		;	Riding
SKILL		21,		29206,		;	Riding
SKILL		26,		29206,		;	Riding
SKILL		27,		29206,		;	Riding

SKILL		1,		29001,		;	Mining
SKILL		6,		29001,		;	Mining
SKILL		11,		29001,		;	Mining
SKILL		16,		29001,		;	Mining
SKILL		21,		29001,		;	Mining
SKILL		26,		29001,		;	Mining
SKILL		27,		29001,		;	Mining

SKILL		1,		29429,		;	UseMineNormalScroll
SKILL		6,		29429,		;	UseMineNormalScroll
SKILL		11,		29429,		;	UseMineNormalScroll
SKILL		16,		29429,		;	UseMineNormalScroll
SKILL		21,		29429,		;	UseMineNormalScroll
SKILL		26,		29429,		;	UseMineNormalScroll
SKILL		27,		29429,		;	UseMineNormalScroll

SKILL		1,		29430,		;	UseMineStaScroll
SKILL		6,		29430,		;	UseMineStaScroll
SKILL		11,		29430,		;	UseMineStaScroll
SKILL		16,		29430,		;	UseMineStaScroll
SKILL		21,		29430,		;	UseMineStaScroll
SKILL		26,		29430,		;	UseMineStaScroll
SKILL		27,		29430,		;	UseMineStaScroll

SKILL		1,		29468,		;	BallSnow01
SKILL		2,		29468,		;	BallSnow01
SKILL		3,		29468,		;	BallSnow01
SKILL		4,		29468,		;	BallSnow01
SKILL		5,		29468,		;	BallSnow01
SKILL		6,		29468,		;	BallSnow01
SKILL		7,		29468,		;	BallSnow01
SKILL		8,		29468,		;	BallSnow01
SKILL		9,		29468,		;	BallSnow01
SKILL		10,		29468,		;	BallSnow01
SKILL		11,		29468,		;	BallSnow01
SKILL		12,		29468,		;	BallSnow01
SKILL		13,		29468,		;	BallSnow01
SKILL		14,		29468,		;	BallSnow01
SKILL		15,		29468,		;	BallSnow01
SKILL		16,		29468,		;	BallSnow01
SKILL		17,		29468,		;	BallSnow01
SKILL		18,		29468,		;	BallSnow01
SKILL		19,		29468,		;	BallSnow01
SKILL		20,		29468,		;	BallSnow01
SKILL		21,		29468,		;	BallSnow01
SKILL		22,		29468,		;	BallSnow01
SKILL		23,		29468,		;	BallSnow01
SKILL		24,		29468,		;	BallSnow01
SKILL		25,		29468,		;	BallSnow01
SKILL		26,		29468,		;	BallSnow01
SKILL		27,		29468,		;	BallSnow01

SKILL		1,		29469,		;	BallCrush01
SKILL		2,		29469,		;	BallCrush01
SKILL		3,		29469,		;	BallCrush01
SKILL		4,		29469,		;	BallCrush01
SKILL		5,		29469,		;	BallCrush01
SKILL		6,		29469,		;	BallCrush01
SKILL		7,		29469,		;	BallCrush01
SKILL		8,		29469,		;	BallCrush01
SKILL		9,		29469,		;	BallCrush01
SKILL		10,		29469,		;	BallCrush01
SKILL		11,		29469,		;	BallCrush01
SKILL		12,		29469,		;	BallCrush01
SKILL		13,		29469,		;	BallCrush01
SKILL		14,		29469,		;	BallCrush01
SKILL		15,		29469,		;	BallCrush01
SKILL		16,		29469,		;	BallCrush01
SKILL		17,		29469,		;	BallCrush01
SKILL		18,		29469,		;	BallCrush01
SKILL		19,		29469,		;	BallCrush01
SKILL		20,		29469,		;	BallCrush01
SKILL		21,		29469,		;	BallCrush01
SKILL		22,		29469,		;	BallCrush01
SKILL		23,		29469,		;	BallCrush01
SKILL		24,		29469,		;	BallCrush01
SKILL		25,		29469,		;	BallCrush01
SKILL		26,		29469,		;	BallCrush01
SKILL		27,		29469,		;	BallCrush01

SKILL		1,		29480,		;	CacaoSeed01
SKILL		2,		29480,		;	CacaoSeed01
SKILL		3,		29480,		;	CacaoSeed01
SKILL		4,		29480,		;	CacaoSeed01
SKILL		5,		29480,		;	CacaoSeed01
SKILL		6,		29480,		;	CacaoSeed01
SKILL		7,		29480,		;	CacaoSeed01
SKILL		8,		29480,		;	CacaoSeed01
SKILL		9,		29480,		;	CacaoSeed01
SKILL		10,		29480,		;	CacaoSeed01
SKILL		11,		29480,		;	CacaoSeed01
SKILL		12,		29480,		;	CacaoSeed01
SKILL		13,		29480,		;	CacaoSeed01
SKILL		14,		29480,		;	CacaoSeed01
SKILL		15,		29480,		;	CacaoSeed01
SKILL		16,		29480,		;	CacaoSeed01
SKILL		17,		29480,		;	CacaoSeed01
SKILL		18,		29480,		;	CacaoSeed01
SKILL		19,		29480,		;	CacaoSeed01
SKILL		20,		29480,		;	CacaoSeed01
SKILL		21,		29480,		;	CacaoSeed01
SKILL		22,		29480,		;	CacaoSeed01
SKILL		23,		29480,		;	CacaoSeed01
SKILL		24,		29480,		;	CacaoSeed01
SKILL		25,		29480,		;	CacaoSeed01
SKILL		26,		29480,		;	CacaoSeed01
SKILL		27,		29480,		;	CacaoSeed01

SKILL		1,		29482,		;	BallHive02
SKILL		2,		29482,		;	BallHive02
SKILL		3,		29482,		;	BallHive02
SKILL		4,		29482,		;	BallHive02
SKILL		5,		29482,		;	BallHive02
SKILL		6,		29482,		;	BallHive02
SKILL		7,		29482,		;	BallHive02
SKILL		8,		29482,		;	BallHive02
SKILL		9,		29482,		;	BallHive02
SKILL		10,		29482,		;	BallHive02
SKILL		11,		29482,		;	BallHive02
SKILL		12,		29482,		;	BallHive02
SKILL		13,		29482,		;	BallHive02
SKILL		14,		29482,		;	BallHive02
SKILL		15,		29482,		;	BallHive02
SKILL		16,		29482,		;	BallHive02
SKILL		17,		29482,		;	BallHive02
SKILL		18,		29482,		;	BallHive02
SKILL		19,		29482,		;	BallHive02
SKILL		20,		29482,		;	BallHive02
SKILL		21,		29482,		;	BallHive02
SKILL		22,		29482,		;	BallHive02
SKILL		23,		29482,		;	BallHive02
SKILL		24,		29482,		;	BallHive02
SKILL		25,		29482,		;	BallHive02
SKILL		26,		29482,		;	BallHive02
SKILL		27,		29482,		;	BallHive02

SKILL		1,		29484,		;	BallEgg01
SKILL		2,		29484,		;	BallEgg01
SKILL		3,		29484,		;	BallEgg01
SKILL		4,		29484,		;	BallEgg01
SKILL		5,		29484,		;	BallEgg01
SKILL		6,		29484,		;	BallEgg01
SKILL		7,		29484,		;	BallEgg01
SKILL		8,		29484,		;	BallEgg01
SKILL		9,		29484,		;	BallEgg01
SKILL		10,		29484,		;	BallEgg01
SKILL		11,		29484,		;	BallEgg01
SKILL		12,		29484,		;	BallEgg01
SKILL		13,		29484,		;	BallEgg01
SKILL		14,		29484,		;	BallEgg01
SKILL		15,		29484,		;	BallEgg01
SKILL		16,		29484,		;	BallEgg01
SKILL		17,		29484,		;	BallEgg01
SKILL		18,		29484,		;	BallEgg01
SKILL		19,		29484,		;	BallEgg01
SKILL		20,		29484,		;	BallEgg01
SKILL		21,		29484,		;	BallEgg01
SKILL		22,		29484,		;	BallEgg01
SKILL		23,		29484,		;	BallEgg01
SKILL		24,		29484,		;	BallEgg01
SKILL		25,		29484,		;	BallEgg01
SKILL		26,		29484,		;	BallEgg01
SKILL		27,		29484,		;	BallEgg01

SKILL		1,		29498,		;	BallHoney01
SKILL		2,		29498,		;	BallHoney01
SKILL		3,		29498,		;	BallHoney01
SKILL		4,		29498,		;	BallHoney01
SKILL		5,		29498,		;	BallHoney01
SKILL		6,		29498,		;	BallHoney01
SKILL		7,		29498,		;	BallHoney01
SKILL		8,		29498,		;	BallHoney01
SKILL		9,		29498,		;	BallHoney01
SKILL		10,		29498,		;	BallHoney01
SKILL		11,		29498,		;	BallHoney01
SKILL		12,		29498,		;	BallHoney01
SKILL		13,		29498,		;	BallHoney01
SKILL		14,		29498,		;	BallHoney01
SKILL		15,		29498,		;	BallHoney01
SKILL		16,		29498,		;	BallHoney01
SKILL		17,		29498,		;	BallHoney01
SKILL		18,		29498,		;	BallHoney01
SKILL		19,		29498,		;	BallHoney01
SKILL		20,		29498,		;	BallHoney01
SKILL		21,		29498,		;	BallHoney01
SKILL		22,		29498,		;	BallHoney01
SKILL		23,		29498,		;	BallHoney01
SKILL		24,		29498,		;	BallHoney01
SKILL		25,		29498,		;	BallHoney01
SKILL		26,		29498,		;	BallHoney01
SKILL		27,		29498,		;	BallHoney01

SKILL		1,		29499,		;	BallHive01
SKILL		2,		29499,		;	BallHive01
SKILL		3,		29499,		;	BallHive01
SKILL		4,		29499,		;	BallHive01
SKILL		5,		29499,		;	BallHive01
SKILL		6,		29499,		;	BallHive01
SKILL		7,		29499,		;	BallHive01
SKILL		8,		29499,		;	BallHive01
SKILL		9,		29499,		;	BallHive01
SKILL		10,		29499,		;	BallHive01
SKILL		11,		29499,		;	BallHive01
SKILL		12,		29499,		;	BallHive01
SKILL		13,		29499,		;	BallHive01
SKILL		14,		29499,		;	BallHive01
SKILL		15,		29499,		;	BallHive01
SKILL		16,		29499,		;	BallHive01
SKILL		17,		29499,		;	BallHive01
SKILL		18,		29499,		;	BallHive01
