;		Mob Attack Sequence			
					
#Ignore	\o042				; 인용부호 무시
#Exchange	#	\x20			; # => space
;#delimeter	\x20				
					
					
#Table	AttSeq				
#ColumnType	WORD	STRING[33]			
#ColumnName	Order	Attack			
					
#Record	0	-			
#Record	1	EglackMad_Skill01_N			
#Record	2	-			
#Record	3	EglackMad_Skill01_N			
#Record	4	-			
#Record	5	EglackMad_Skill01_N			
#Record	6	EglackMad_Skill02_N			
#Record	7	-			
#Record	8	EglackMad_Skill01_N			
#Record	9	EglackMad_Skill01_N			
#Record	10	-			
#Record	11	-			
#Record	12	EglackMad_Skill01_N			
#Record	13	EglackMad_Skill01_N			
#Record	14	EglackMad_Skill02_N			
#Record	15	-			
#Record	16	EglackMad_Skill01_N			
#Record	17	EglackMad_Skill01_N			
#Record	18	-			
#Record	19	-			
#Record	20	EglackMad_Skill01_N			
#Record	21	EglackMad_Skill01_N			
#Record	22	EglackMad_Skill02_N			
#Record	23	-			
#Record	24	EglackMad_Skill01_N			
#Record	25	EglackMad_Skill01_N			
#Record	26	EglackMad_Skill01_N			
					
#Table	SkillChange			; 조건에 따라 다른 스킬을 써야 할 경우	
#ColumnType	Index	Index	String[33]	String[33]	
#ColumnName	Condition	Value	From	To	
#Record	HPLow_ChangeOrder	200	0	EglackMad_Skill06_W	
#Record	HPLow_ChangeOrder	200	1	EglackMad_Skill04_N	
#Record	HPLow_ChangeOrder	200	2	EglackMad_Skill07_W	
#Record	HPLow_ChangeOrder	200	4	EglackMad_Skill01_N	
#Record	HPLow_ChangeOrder	200	5	EglackMad_Skill06_W	
#Record	HPLow_ChangeOrder	200	6	EglackMad_Skill05_W	
#Record	HPLow_ChangeOrder	200	7	EglackMad_Skill01_N	
#Record	HPLow_ChangeOrder	200	8	EglackMad_Skill03_W	
#Record	HPLow_ChangeOrder	200	9	EglackMad_Skill07_W	
#Record	HPLow_ChangeOrder	200	10	EglackMad_Skill06_W	
#Record	HPLow_ChangeOrder	200	11	EglackMad_Skill04_N	
#Record	HPLow_ChangeOrder	200	12	-	
#Record	HPLow_ChangeOrder	200	14	EglackMad_Skill01_N	
#Record	HPLow_ChangeOrder	200	15	EglackMad_Skill06_W	
#Record	HPLow_ChangeOrder	200	16	EglackMad_Skill05_W	
#Record	HPLow_ChangeOrder	200	18	EglackMad_Skill03_W	
#Record	HPLow_ChangeOrder	200	19	EglackMad_Skill01_N	
#Record	HPLow_ChangeOrder	200	20	EglackMad_Skill06_W	
#Record	HPLow_ChangeOrder	200	21	EglackMad_Skill04_N	
#Record	HPLow_ChangeOrder	200	22	EglackMad_Skill01_N	
#Record	HPLow_ChangeOrder	200	23	EglackMad_Skill01_N	
#Record	HPLow_ChangeOrder	200	24	EglackMad_Skill05_W	
#Record	HPLow_ChangeOrder	200	25	EglackMad_Skill03_W	
#Record	HPLow_ChangeOrder	500	0	EglackMad_Skill05_W	
#Record	HPLow_ChangeOrder	500	1	EglackMad_Skill04_N	
#Record	HPLow_ChangeOrder	500	2	EglackMad_Skill07_W	
#Record	HPLow_ChangeOrder	500	7	EglackMad_Skill01_N	
#Record	HPLow_ChangeOrder	500	10	EglackMad_Skill05_W	
#Record	HPLow_ChangeOrder	500	11	EglackMad_Skill04_N	
#Record	HPLow_ChangeOrder	500	12	-	
#Record	HPLow_ChangeOrder	500	14	-	
#Record	HPLow_ChangeOrder	500	15	EglackMad_Skill01_N	
#Record	HPLow_ChangeOrder	500	16	EglackMad_Skill02_N	
#Record	HPLow_ChangeOrder	500	17	EglackMad_Skill07_W	
#Record	HPLow_ChangeOrder	500	18	EglackMad_Skill01_N	
#Record	HPLow_ChangeOrder	500	19	EglackMad_Skill01_N	
#Record	HPLow_ChangeOrder	500	20	EglackMad_Skill05_W	
#Record	HPLow_ChangeOrder	500	21	EglackMad_Skill04_N	
#Record	HPLow_ChangeOrder	500	22	EglackMad_Skill01_N	
#Record	HPLow_ChangeOrder	500	23	EglackMad_Skill01_N	
#Record	HPLow_ChangeOrder	500	24	EglackMad_Skill02_N	
#Record	HPLow_ChangeOrder	500	26	-	
#Record	HPLow_ChangeOrder	800	0	EglackMad_Skill04_N	
#Record	HPLow_ChangeOrder	800	1	-	
#Record	HPLow_ChangeOrder	800	2	EglackMad_Skill01_N	
#Record	HPLow_ChangeOrder	800	6	EglackMad_Skill03_W	
#Record	HPLow_ChangeOrder	800	7	EglackMad_Skill01_N	
#Record	HPLow_ChangeOrder	800	8	-	
#Record	HPLow_ChangeOrder	800	10	EglackMad_Skill01_N	
#Record	HPLow_ChangeOrder	800	11	EglackMad_Skill04_N	
#Record	HPLow_ChangeOrder	800	12	-	
#Record	HPLow_ChangeOrder	800	14	EglackMad_Skill01_N	
#Record	HPLow_ChangeOrder	800	17	EglackMad_Skill03_W	
#Record	HPLow_ChangeOrder	800	18	EglackMad_Skill01_N	
#Record	HPLow_ChangeOrder	800	22	EglackMad_Skill01_N	
#Record	HPLow_ChangeOrder	800	23	EglackMad_Skill04_N	
#Record	HPLow_ChangeOrder	800	24	-	
#End					
