;		Mob Attack Sequence							
									
#Ignore	\o042				; 인용부호 무시				
#Exchange	#	\x20			; # => space				
;#delimeter	\x20								
									
									
#Table	AttSeq								
#ColumnType	WORD	STRING[33]							
#ColumnName	Order	Attack							
									
#Record	0	-							
#Record	1	-							
#Record	2	-							
#Record	3	-							
#Record	4	-							
#Record	5	-							
#Record	6	B_CrackerLooter_Disease_Wide							
#Record	7	-							
#Record	8	B_CrackerLooter_Normal_Wide							
#Record	9	-							
#Record	10	-							
#Record	11	-							
#Record	12	-							
#Record	13	-							
#Record	14	-							
#Record	15	B_CrackerLooter_Disease_Wide							
#Record	16	-							
#Record	17	B_CrackerLooter_Normal_Wide							
#End									
