;		Mob Attack Sequence			
					
#Ignore	\o042				; 인용부호 무시
#Exchange	#	\x20			; # => space
;#delimeter	\x20				
					
					
#Table	AttSeq				
#ColumnType	WORD	STRING[33]			
#ColumnName	Order	Attack			
#Record	0	B_HelgaAtkskill5			
#Record	1	B_HelgaHeal1			
#Record	2	B_HelgaAtkskill4			
#Record	3	-			
#Record	4	B_HelgaAtkskill1			
#Record	5	-			
#Record	6	B_HelgaAtkskill3			
#Record	7	B_HelgaAtkskill5			
#Record	8	-			
#Record	9	B_HelgaHeal1			
#Record	10	B_HelgaAtkskill2			
#Record	11	-			
#Record	12	B_HelgaAtkskill3			
#Record	13	B_HelgaAtkskill4			
#Record	14	-			
#Record	15	B_HelgaAtkskill3			
#Record	16	B_HelgaAtkskill5			
#Record	17	-			
#Record	18	B_HelgaHeal1			
#Record	19	B_HelgaAtkskill1			
#Record	20	-			
#Record	21	B_HelgaAtkskill3			
#Record	22	B_HelgaAtkskill5			
#Record	23	-			
#Record	24	B_HelgaAtkskill2			
#Record	25	B_HelgaHeal1			
#Record	26	B_HelgaAtkskill1			
#Record	27	-			
#Record	28	B_HelgaAtkskill3			
#Record	29	B_HelgaAtkskill3			
#Record	30	B_HelgaAtkskill5			
#Record	31	-			
#Record	32	B_HelgaAtkskill4			
#Record	33	-			
#Record	34	B_HelgaAtkskill1			
#Record	35	-			
#Record	36	B_HelgaHeal1			
#Record	37	B_HelgaAtkskill3			
#Record	38	B_HelgaAtkskill5			
#Record	39	-			
#Record	40	B_HelgaAtkskill2			
#Record	41	-			
#Record	42	B_HelgaHeal1			
#Record	43	B_HelgaAtkskill3			
#Record	44	B_HelgaAtkskill5			
#Record	45	-			
#Record	46	B_HelgaAtkskill3			
#Record	47	B_HelgaAtkskill4			
#End					
