;		Mob Attack Sequence							
									
#Ignore	\o042				; 인용부호 무시				
#Exchange	#	\x20			; # => space				
;#delimeter	\x20								
									
									
#Table	AttSeq								
#ColumnType	WORD	STRING[33]							
#ColumnName	Order	Attack							
									
#Record	0	-							
#Record	1	-							
#Record	2	-							
#Record	3	KalBanWidePoison							
#Record	4	KalBanWideDisease							
#Record	5	KalBanWideStun							
#Record	6	KalBanSummonSkill1							
#Record	7	-							
#Record	8	-							
#Record	9	-							
#Record	10	KalBanWideAttack02							
#Record	11	-							
#Record	12	-							
#Record	13	-							
#Record	14	-							
#Record	15	KalBanHeal							
#Record	16	-							
#Record	17	-							
#Record	18	-							
#Record	19	KalBanWideAttack01							
#Record	20	-							
#Record	21	-							
#Record	22	-							
#Record	23	-							
#Record	24	-							
#Record	25	KalBanHeal							
#End									
