;		Mob Attack Sequence			
					
#Ignore	\o042				; 인용부호 무시
#Exchange	#	\x20			; # => space
;#delimeter	\x20				
					
					
#Table	AttSeq				
#ColumnType	WORD	STRING[33]			
#ColumnName	Order	Attack			
					
#Record	0	-			
#Record	1	WaterAlCaHeal1			
#Record	2	-			
#Record	3	WaterAlCaHeal1			
#Record	4	-			
#Record	5	-			
#Record	6	WaterAlCaHeal1			
#Record	7	-			
#Record	8	WaterAlCaHeal1			
#Record	9	-			
#Record	10	-			
#Record	11	WaterAlCaHeal1			
#Record	12	-			
#Record	13	WaterAlCaHeal1			
#Record	14	-			
#Record	15	-			
#Record	16	WaterAlCaHeal1			
#Record	17	-			
#Record	18	WaterAlCaHeal1			
#Record	19	-			
#Record	20	-			
#Record	21	WaterAlCaHeal1			
#Record	22	-			
#Record	23	WaterAlCaHeal1			
#Record	24	-			
#End					
