;		Mob Attack Sequence			
					
#Ignore	\o042				; 인용부호 무시
#Exchange	#	\x20			; # => space
;#delimeter	\x20				
					
					
#Table	AttSeq				
#ColumnType	WORD	STRING[33]			
#ColumnName	Order	Attack			
					
#Record	0	WaterBariAtkSkill1			
#Record	1	WaterBariAtkSkill1			
#Record	2	WaterBariAtkSkill1			
#Record	3	WaterBariAtkSkill1			
#Record	4	-			
#Record	5	WaterBariAtkSkill1			
#Record	6	WaterBariAtkSkill1			
#Record	7	WaterBariAtkSkill1			
#Record	8	-			
#Record	9	WaterBariAtkSkill1			
#Record	10	WaterBariAtkSkill1			
#Record	11	WaterBariAtkSkill1			
#Record	12	WaterBariAtkSkill1			
#Record	13	-			
#Record	14	WaterBariAtkSkill1			
#Record	15	WaterBariAtkSkill1			
#Record	16	WaterBariAtkSkill1			
#Record	17	-			
#Record	18	WaterBariAtkSkill1			
#Record	19	WaterBariAtkSkill1			
#Record	20	WaterBariAtkSkill1			
#Record	21	WaterBariAtkSkill1			
#Record	22	-			
#End					
