;		Mob Attack Sequence			
					
#Ignore	\o042				; 인용부호 무시
#Exchange	#	\x20			; # => space
;#delimeter	\x20				
					
					
#Table	AttSeq				
#ColumnType	WORD	STRING[33]			
#ColumnName	Order	Attack			
					
#Record	0	IDCorneliusNeut01			
#Record	1	IDCorneliusAtkSkill1			
#Record	2	-			
#Record	3	IDCorneliusAtkSkill1			
#Record	4	-			
#Record	5	Dragonneut_Skill05_W			
#Record	6	-			
#Record	7	IDCorneliusNeut01			
#Record	8	IDCorneliusAtkSkill1			
#Record	9	IDCorneliusAtkSkill2			
#Record	10	-			
#Record	11	IDCorneliusAtkSkill2			
#Record	12	Dragonneut_Skill05_W			
#End					
					
					
					
					
					
					
