;		Mob Attack Sequence			
					
#Ignore	\o042				; 인용부호 무시
#Exchange	#	\x20			; # => space
;#delimeter	\x20				
					
					
#Table	AttSeq				
#ColumnType	WORD	STRING[33]			
#ColumnName	Order	Attack			
					
#Record	0	IDFireTaiNeut01			
#Record	1	IDFireTaiAtkSkill2			
#Record	2	IDFireTaiAtkSkill1			
#Record	3	-			
#Record	4	-			
#Record	5	-			
#Record	6	IDFireTaiNeut01			
#Record	7	IDFireTaiAtkSkill1			
#Record	8	-			
#Record	9	-			
#Record	10	-			
#Record	11	IDFireTaiNeut01			
#Record	12	IDFireTaiAtkSkill2			
#Record	13	-			
#Record	14	-			
#Record	15	-			
#End					
