;	Shine Monster Regeneration Table			V0.3													
;	Monster Group																
#ignore	\o042																
#exchange	#	\x20															
																	
#table	MobRegenGroup																
;		GroupID	Family	Regen Region													
;			Y/N	X	Y	X	Y	Range/Degree									
#columntype		INDEX	STRING[1]	DWRD	DWRD	DWRD	DWRD	DWRD									
#columnname		GroupIndex	IsFamily	CenterX	CenterY	Width	Height	RangeDegree									
#record		Dark01	N	4191	9471	0	0	300									
#record		Dark02	N	3843	17023	0	0	300									
#record		Dark03	N	3979	12440	0	0	300									
#record		Dark04	N	3851	11534	0	0	300									
#record		Dark05	N	3770	10804	0	0	300									
#record		Dark06	N	4991	11623	0	0	300									
#record		Dark07	N	4840	12463	0	0	300									
#record		Dark08	N	4835	10427	0	0	300									
#record		Dark09	N	7427	15687	0	0	300									
#record		Dark10	N	6476	17611	0	0	300									
#record		Dark11	N	9704	15663	0	0	300									
#record		Dark12	N	8065	15796	0	0	300									
#record		Dark13	N	6941	16744	0	0	300									
#record		Dark14	N	7551	17625	0	0	300									
#record		Dark15	N	7951	16594	0	0	300									
#record		Dark16	N	9308	11762	0	0	300									
#record		Dark17	N	8241	11552	0	0	300									
#record		Dark18	N	9805	11469	0	0	300									
#record		Dark19	N	8787	10554	0	0	300									
#record		Dark20	N	9259	11159	0	0	300									
#record		Dark21	N	8225	9153	0	0	300									
#record		Dark22	N	8656	9824	0	0	300									
#record		Dark23	N	9662	23342	0	0	300									
#record		Dark24	N	12762	22936	0	0	300									
#record		Dark25	N	12697	23589	0	0	300									
#record		Dark26	N	10432	22094	0	0	300									
#record		Dark27	N	10144	22816	0	0	300									
#record		Dark28	N	9498	22597	0	0	300									
#record		Dark29	N	7277	13006	0	0	300									
#record		Dark30	N	8341	13230	0	0	300									
#record		Dark31	N	7707	11202	0	0	300									
#record		Dark32	N	7050	10835	0	0	300									
#record		Dark33	N	7733	13552	0	0	300									
#record		Dark34	N	12620	3117	0	0	300									
#record		Dark35	N	12648	5381	0	0	300									
#record		Dark36	N	13951	3757	0	0	300									
#record		Dark37	N	13160	3774	0	0	300									
#record		Dark38	N	14595	4222	0	0	300									
#record		Dark39	N	7471	19078	0	0	300									
#record		Dark40	N	8211	18667	0	0	300									
#record		Dark41	N	5895	18696	0	0	300									
#record		Dark42	N	6364	20010	0	0	300									
#record		Dark43	N	7514	18395	0	0	300									
#record		Dark44	N	7025	19774	0	0	300									
#record		Dark45	N	13585	12843	0	0	300									
#record		Dark46	N	13215	11117	0	0	300									
#record		Dark47	N	13029	13297	0	0	300									
#record		Dark48	N	14858	12967	0	0	300									
#record		Dark49	N	13387	11685	0	0	300									
#record		Dark50	N	13563	13442	0	0	300									
#record		Dark51	N	6372	2377	0	0	300									
#record		Dark52	N	3041	4130	0	0	300									
#record		Dark53	N	7051	3151	0	0	300									
#record		Dark54	N	7420	2237	0	0	300									
#record		Dark55	N	8156	2359	0	0	300									
#record		Dark56	N	7015	8998	0	0	300									
#record		Dark57	N	8100	7979	0	0	300									
#record		Dark58	N	6604	9614	0	0	300									
#record		Dark59	N	5892	7559	0	0	300									
#record		Dark60	N	7523	8519	0	0	300									
#record		Dark61	N	7411	4380	0	0	300									
#record		Dark62	N	5488	6313	0	0	300									
#record		Dark63	N	6736	4666	0	0	300									
#record		Dark64	N	6359	5824	0	0	300									
#record		Dark65	N	7787	4992	0	0	300									
#record		Dark66	N	8442	5259	0	0	300									
#record		Dark67	N	7018	5128	0	0	300									
#record		Dark68	N	6472	5210	0	0	300									
#record		Dark69	N	10445	18451	0	0	300									
#record		Dark70	N	10184	13595	0	0	300									
#record		Dark71	N	10833	12136	0	0	300									
#record		Dark72	N	11496	12143	0	0	300									
#record		Dark73	N	10371	12893	0	0	300									
#record		Dark74	N	10098	12291	0	0	300									
#record		Dark75	N	10599	2371	0	0	300									
#record		Dark76	N	9505	2200	0	0	300									
#record		Dark77	N	10584	4419	0	0	300									
#record		Dark78	N	10008	2725	0	0	300									
#record		Dark79	N	9635	3401	0	0	300									
#record		Dark80	N	9179	2854	0	0	300									
#record		Dark81	N	11294	3065	0	0	300									
#record		Dark82	N	9139	20811	0	0	300									
#record		Dark83	N	8446	21020	0	0	300									
#record		Dark84	N	6280	21665	0	0	300									
#record		Dark85	N	4566	23024	0	0	300									
#record		Dark86	N	9557	20063	0	0	300									
#record		Dark87	N	21984	19316	0	0	300									
#record		Dark88	N	21548	19704	0	0	300									
#record		Dark89	N	19202	19185	0	0	300									
#record		Dark90	N	19854	19650	0	0	300									
#record		Dark91	N	22578	19651	0	0	300									
#record		Dark92	N	19296	7334	0	0	300									
#record		Dark93	N	20981	6036	0	0	300									
#record		Dark94	N	19705	6520	0	0	300									
#record		Dark95	N	18663	7704	0	0	300									
#record		Dark96	N	21299	6583	0	0	300									
#record		Dark97	N	21981	6291	0	0	300									
#record		Dark98	N	18644	8756	0	0	300									
#record		Dark99	N	18100	17624	0	0	300									
#record		Dark100	N	18906	18451	0	0	300									
#record		Dark101	N	17814	15792	0	0	300									
#record		Dark102	N	19504	16435	0	0	300									
#record		Dark103	N	19257	15783	0	0	300									
#record		Dark104	N	18517	18990	0	0	300									
#record		Dark105	N	18352	11676	0	0	300									
#record		Dark106	N	17961	9875	0	0	300									
#record		Dark107	N	17506	10827	0	0	300									
#record		Dark108	N	17740	11390	0	0	300									
#record		Dark109	N	20014	11426	0	0	300									
#record		Dark110	N	19505	9912	0	0	300									
#record		Dark111	N	23598	16394	0	0	300									
#record		Dark112	N	24160	16511	0	0	300									
#record		Dark113	N	23379	19216	0	0	300									
#record		Dark114	N	15027	6855	0	0	300									
#record		Dark115	N	13990	6298	0	0	300									
#record		Dark116	N	14465	6624	0	0	300									
#record		Dark117	N	23526	8429	0	0	300									
#record		Dark118	N	23661	9790	0	0	300									
#record		Dark119	N	23550	10572	0	0	300									
#record		Dark120	N	22745	7163	0	0	300									
#record		Dark121	N	22705	7823	0	0	300									
#record		Dark122	N	22748	6402	0	0	300									
#record		Dark123	N	14323	22559	0	0	300									
#record		Dark124	N	14392	22001	0	0	300									
#record		Dark125	N	15516	22550	0	0	300									
#record		Dark126	N	13604	21566	0	0	300									
#record		Dark127	N	14489	21075	0	0	300									
#record		Dark128	N	14889	22234	0	0	300									
#record		Dark129	N	13916	21311	0	0	300									
#record		Dark130	N	14197	20809	0	0	300									
#record		Dark131	N	16152	21190	0	0	300									
#record		Dark132	N	16053	22683	0	0	300									
#record		Dark133	N	14940	22824	0	0	300									
#record		Dark134	N	18605	5148	0	0	300									
#record		Dark135	N	17563	4756	0	0	300									
#record		Dark136	N	18094	5665	0	0	300									
#record		Dark137	N	16494	18355	0	0	300									
#record		Dark138	N	16390	17411	0	0	300									
#record		Dark139	N	16224	16589	0	0	300									
#record		Dark140	N	10555	19849	0	0	300									
#record		Dark141	N	12457	20463	0	0	300									
#record		Dark142	N	12783	19679	0	0	300									
#record		Dark143	N	13937	19680	0	0	300									
#record		Dark144	N	13874	18905	0	0	300									
#record		Dark145	N	10610	20359	0	0	300									
#record		Dark146	N	8747	22593	0	0	300									
#record		Dark147	N	6872	22198	0	0	300									
#record		Dark148	N	8099	23453	0	0	300									
#record		Dark149	N	8862	23405	0	0	300									
#record		Dark150	N	7796	22778	0	0	300									
#record		Dark151	N	7042	23129	0	0	300									
#record		Dark152	N	14856	11808	0	0	300									
#record		Dark153	N	14340	11239	0	0	300									
#record		Dark154	N	14411	10405	0	0	300									
#record		Dark155	N	14999	9976	0	0	300									
#record		Dark156	N	14952	9238	0	0	300									
#record		Dark157	N	14951	10896	0	0	300									
#record		Dark158	N	13817	10002	0	0	300									
#record		Dark159	N	14331	9601	0	0	300									
#record		Dark160	N	12423	7664	0	0	300									
#record		Dark161	N	12979	8137	0	0	300									
#record		Dark162	N	12242	8360	0	0	300									
#record		Dark163	N	10142	6560	0	0	300									
#record		Dark164	N	11555	7093	0	0	300									
#record		Dark165	N	13095	8945	0	0	300									
#record		Dark166	N	10827	6998	0	0	300									
#record		Dark167	N	12304	10200	0	0	300									
#record		Dark168	N	10547	7757	0	0	300									
#record		Dark169	N	11334	9024	0	0	300									
#record		Dark170	N	9817	8323	0	0	300									
#record		Dark171	N	10567	8656	0	0	300									
#record		Dark172	N	11786	9642	0	0	300									
#record		Dark173	N	9795	7566	0	0	300									
#record		Dark174	N	14629	15850	0	0	300									
#record		Dark175	N	14233	16550	0	0	300									
#record		Dark176	N	14662	14371	0	0	300									
#record		Dark177	N	14633	15092	0	0	300									
#record		Dark178	N	12311	16703	0	0	300									
#record		Dark179	N	12245	16044	0	0	300									
#record		Dark180	N	3117	20836	0	0	300									
#record		Dark181	N	3868	20450	0	0	300									
#record		Dark182	N	3601	22021	0	0	300									
#record		Dark183	N	3624	21249	0	0	300									
#record		Dark184	N	4281	21109	0	0	300									
#record		Dark185	N	2976	21630	0	0	300									
#record		Dark186	N	3425	15998	0	0	300									
#record		Dark187	N	4164	16285	0	0	300									
#record		Dark188	N	4584	16015	0	0	300									
#record		Dark189	N	4089	15713	0	0	300									
