;	Shine Monster Regeneration Table			V0.3													
;	Monster Group																
#ignore	\o042																
#exchange	#	\x20															
																	
#table	MobRegenGroup																
;		GroupID	Family	Regen Region													
;			Y/N	X	Y	X	Y	Range/Degree									
#columntype		INDEX	STRING[1]	DWRD	DWRD	DWRD	DWRD	DWRD									
#columnname		GroupIndex	IsFamily	CenterX	CenterY	Width	Height	RangeDegree									
#record		Fire01	N	3794	21844	0	0	380									
#record		Fire02	N	4707	22282	0	0	380									
#record		Fire03	N	9483	21811	0	0	380									
#record		Fire04	N	6453	18769	0	0	380									
#record		Fire05	N	6746	19800	0	0	380									
#record		Fire06	N	7244	21413	0	0	380									
#record		Fire07	N	5821	23358	0	0	380									
#record		Fire08	N	6311	20747	0	0	380									
#record		Fire09	N	7711	23043	0	0	380									
#record		Fire10	N	8868	23854	0	0	380									
#record		Fire11	N	8779	22906	0	0	380									
#record		Fire12	N	9769	23162	0	0	380									
#record		Fire13	N	6586	22253	0	0	380									
#record		Fire14	N	10611	23244	0	0	380									
#record		Fire15	N	11023	20904	0	0	380									
#record		Fire16	N	11012	21831	0	0	380									
#record		Fire17	N	11980	20724	0	0	380									
#record		Fire18	N	16743	20779	0	0	380									
#record		Fire19	N	11921	22002	0	0	380									
#record		Fire20	N	17587	21066	0	0	380									
#record		Fire21	N	14422	19290	0	0	380									
#record		Fire22	N	13856	22146	0	0	380									
#record		Fire23	N	15180	21096	0	0	380									
#record		Fire24	N	14815	21986	0	0	380									
#record		Fire25	N	14277	21320	0	0	380									
#record		Fire26	N	14521	20342	0	0	380									
#record		Fire27	N	15329	19815	0	0	380									
#record		Fire28	N	15863	21550	0	0	380									
#record		Fire29	N	16796	19605	0	0	380									
#record		Fire30	N	12832	21205	0	0	380									
#record		Fire31	N	13257	20311	0	0	380									
#record		Fire32	N	14032	18242	0	0	380									
#record		Fire33	N	16722	22039	0	0	380									
#record		Fire34	N	13250	19051	0	0	380									
#record		Fire35	N	18496	21058	0	0	380									
#record		Fire36	N	17667	20117	0	0	380									
#record		Fire37	N	16063	18774	0	0	380									
#record		Fire38	N	15396	18220	0	0	380									
#record		Fire39	N	16173	17922	0	0	380									
#record		Fire40	N	16978	18607	0	0	380									
#record		Fire41	N	13863	14406	0	0	380									
#record		Fire42	N	14983	16121	0	0	380									
#record		Fire43	N	14587	17059	0	0	380									
#record		Fire44	N	13517	17233	0	0	380									
#record		Fire45	N	14565	15105	0	0	380									
#record		Fire46	N	17999	17277	0	0	380									
#record		Fire47	N	13975	16213	0	0	380									
#record		Fire48	N	17023	17628	0	0	380									
#record		Fire49	N	16648	16698	0	0	380									
#record		Fire50	N	12688	13990	0	0	380									
#record		Fire51	N	13527	13474	0	0	380									
#record		Fire52	N	9639	17722	0	0	380									
#record		Fire53	N	13023	14987	0	0	380									
#record		Fire54	N	13021	16107	0	0	380									
#record		Fire55	N	18841	12704	0	0	380									
#record		Fire56	N	18255	13871	0	0	380									
#record		Fire57	N	16736	15097	0	0	380									
#record		Fire58	N	10624	17182	0	0	380									
#record		Fire59	N	8989	18621	0	0	380									
#record		Fire60	N	10116	16321	0	0	380									
#record		Fire61	N	15016	9291	0	0	380									
#record		Fire62	N	13726	6870	0	0	380									
#record		Fire63	N	14781	6745	0	0	380									
#record		Fire64	N	14344	5945	0	0	380									
#record		Fire65	N	15208	5361	0	0	380									
#record		Fire66	N	15562	6269	0	0	380									
#record		Fire67	N	16301	5423	0	0	380									
#record		Fire68	N	17335	5762	0	0	380									
#record		Fire69	N	18016	5161	0	0	380									
#record		Fire70	N	17204	4741	0	0	380									
#record		Fire71	N	18757	5651	0	0	380									
#record		Fire72	N	19607	5722	0	0	380									
#record		Fire73	N	14805	13925	0	0	380									
#record		Fire74	N	15010	10506	0	0	380									
#record		Fire75	N	14442	12826	0	0	380									
#record		Fire76	N	15333	12801	0	0	380									
#record		Fire77	N	15449	11957	0	0	380									
#record		Fire78	N	15869	11208	0	0	380									
#record		Fire79	N	16183	4206	0	0	380									
#record		Fire80	N	17532	3887	0	0	380									
#record		Fire81	N	8169	16843	0	0	380									
#record		Fire82	N	9190	14816	0	0	380									
#record		Fire83	N	8596	17658	0	0	380									
#record		Fire84	N	8215	15764	0	0	380									
#record		Fire85	N	17501	2921	0	0	380									
#record		Fire86	N	17121	2034	0	0	90									
#record		Fire87	N	9242	16860	0	0	380									
#record		Fire88	N	16781	3521	0	0	380									
#record		Fire89	N	11098	14361	0	0	380									
#record		Fire90	N	9358	15741	0	0	380									
#record		Fire91	N	15764	2075	0	0	380									
#record		Fire92	N	16028	3071	0	0	380									
#record		Fire93	N	14277	4513	0	0	380									
#record		Fire94	N	10614	13525	0	0	380									
#record		Fire95	N	13182	4919	0	0	380									
#record		Fire96	N	11856	10072	0	0	380									
#record		Fire97	N	12774	3854	0	0	380									
#record		Fire98	N	12072	11758	0	0	380									
#record		Fire99	N	10956	12035	0	0	380									
#record		Fire100	N	12448	8445	0	0	380									
#record		Fire101	N	11653	4177	0	0	380									
#record		Fire102	N	12915	5985	0	0	380									
#record		Fire103	N	12087	5242	0	0	380									
#record		Fire104	N	14541	2586	0	0	380									
#record		Fire105	N	13854	3473	0	0	380									
#record		Fire106	N	15042	3731	0	0	380									
#record		Fire107	N	20738	1261	0	0	380									
#record		Fire108	N	23690	4149	0	0	380									
#record		Fire109	N	19243	1937	0	0	380									
#record		Fire110	N	19974	2385	0	0	380									
#record		Fire111	N	20751	3064	0	0	380									
#record		Fire112	N	18303	4346	0	0	380									
#record		Fire113	N	19037	3844	0	0	380									
#record		Fire114	N	21602	1679	0	0	380									
#record		Fire115	N	21538	3607	0	0	380									
#record		Fire116	N	19173	4775	0	0	380									
#record		Fire117	N	19890	3431	0	0	380									
#record		Fire118	N	19968	4312	0	0	380									
#record		Fire119	N	19205	2849	0	0	380									
#record		Fire120	N	18409	2409	0	0	380									
#record		Fire121	N	18317	3322	0	0	380									
#record		Fire122	N	19883	1314	0	0	380									
#record		Fire123	N	20764	7221	0	0	380									
#record		Fire124	N	21876	6879	0	0	380									
#record		Fire125	N	20778	6072	0	0	380									
#record		Fire126	N	21988	8224	0	0	380									
#record		Fire127	N	22861	7500	0	0	380									
#record		Fire128	N	20032	6498	0	0	380									
#record		Fire129	N	22332	5357	0	0	380									
#record		Fire130	N	20301	5183	0	0	380									
#record		Fire131	N	21129	5022	0	0	380									
#record		Fire132	N	21675	5968	0	0	380									
#record		Fire133	N	21882	4590	0	0	380									
#record		Fire134	N	20832	4072	0	0	380									
#record		Fire135	N	23031	4847	0	0	380									
#record		Fire136	N	15950	7891	0	0	380									
#record		Fire137	N	18670	6958	0	0	380									
#record		Fire138	N	16771	7518	0	0	380									
#record		Fire139	N	16460	8734	0	0	380									
#record		Fire140	N	17791	7277	0	0	380									
#record		Fire141	N	17341	8366	0	0	380									
#record		Fire142	N	18533	9701	0	0	380									
#record		Fire143	N	16721	13450	0	0	380									
#record		Fire144	N	18569	10641	0	0	380									
#record		Fire145	N	17087	11807	0	0	380									
#record		Fire146	N	17071	10697	0	0	380									
#record		Fire147	N	16646	12578	0	0	380									
#record		Fire148	N	17838	11235	0	0	380									
#record		Fire149	N	17745	10126	0	0	380									
#record		Fire150	N	21790	10021	0	0	380									
#record		Fire151	N	16746	9848	0	0	380									
#record		Fire152	N	17467	9299	0	0	380									
#record		Fire153	N	23735	9834	0	0	380									
#record		Fire154	N	22865	10399	0	0	380									
#record		Fire155	N	21697	12986	0	0	380									
#record		Fire156	N	21027	10647	0	0	380									
#record		Fire157	N	19929	14048	0	0	380									
#record		Fire158	N	20733	13554	0	0	380									
#record		Fire159	N	21432	12037	0	0	380									
#record		Fire160	N	20629	11651	0	0	380									
#record		Fire161	N	21955	11116	0	0	380									
#record		Fire162	N	20549	12620	0	0	380									
#record		Fire163	N	21449	14458	0	0	380									
#record		Fire164	N	19913	10796	0	0	380									
#record		Fire165	N	4763	11171	0	0	380									
#record		Fire166	N	3003	11105	0	0	380									
#record		Fire167	N	4049	11714	0	0	380									
#record		Fire168	N	2219	11456	0	0	380									
#record		Fire169	N	3844	10893	0	0	380									
#record		Fire170	N	3317	12011	0	0	90									
#record		Fire171	N	4497	13663	0	0	380									
#record		Fire172	N	3724	13051	0	0	380									
#record		Fire173	N	5784	11062	0	0	380									
#record		Fire174	N	5347	14312	0	0	380									
#record		Fire175	N	7090	10292	0	0	380									
#record		Fire176	N	5615	13307	0	0	380									
#record		Fire177	N	2549	12293	0	0	380									
#record		Fire178	N	6648	11129	0	0	380									
#record		Fire179	N	6067	11935	0	0	380									
#record		Fire180	N	5078	12189	0	0	380									
#record		Fire181	N	8171	12181	0	0	380									
#record		Fire182	N	7327	11723	0	0	380									
#record		Fire183	N	7809	10929	0	0	380									
#record		Fire184	N	3935	14805	0	0	380									
#record		Fire185	N	3756	18532	0	0	380									
#record		Fire186	N	1699	12472	0	0	380									
#record		Fire187	N	2940	19302	0	0	380									
#record		Fire188	N	2968	16458	0	0	380									
#record		Fire189	N	2400	13185	0	0	380									
