;	Shine Monster Regeneration Table			V0.3													
;	Monster Group																
#ignore	\o042																
#exchange	#	\x20															
																	
#table	MobRegenGroup																
;		GroupID	Family	Regen Region													
;			Y/N	X	Y	X	Y	Range/Degree									
#columntype		INDEX	STRING[1]	DWRD	DWRD	DWRD	DWRD	DWRD									
#columnname		GroupIndex	IsFamily	CenterX	CenterY	Width	Height	RangeDegree									
#record		UrgSwa01	N	9025	4754	0	0	450									
#record		UrgSwa02	N	8452	4107	0	0	450									
#record		UrgSwa03	N	5902	5224	0	0	450									
#record		UrgSwa04	N	7975	5090	0	0	450									
#record		UrgSwa05	N	7260	4245	0	0	450									
#record		UrgSwa06	N	6933	5241	0	0	450									
#record		UrgSwa07	N	5025	5825	0	0	450									
#record		UrgSwa08	N	6910	7198	0	0	450									
#record		UrgSwa09	N	8555	8509	0	0	450									
#record		UrgSwa10	N	8005	7592	0	0	450									
#record		UrgSwa11	N	17201	4853	0	0	450									
#record		UrgSwa12	N	7765	6220	0	0	450									
#record		UrgSwa13	N	4020	4811	0	0	450									
#record		UrgSwa14	N	12738	4615	0	0	450									
#record		UrgSwa15	N	17787	3775	0	0	450									
#record		UrgSwa16	N	18818	4729	0	0	450									
#record		UrgSwa17	N	12888	6111	0	0	450									
#record		UrgSwa18	N	14007	6085	0	0	450									
#record		UrgSwa19	N	3412	5950	0	0	450									
#record		UrgSwa20	N	8831	5707	0	0	450									
#record		UrgSwa21	N	12272	5437	0	0	450									
#record		UrgSwa22	N	13413	5217	0	0	450									
#record		UrgSwa23	N	13829	4243	0	0	450									
#record		UrgSwa24	N	4288	9051	0	0	450									
#record		UrgSwa25	N	6912	9820	0	0	450									
#record		UrgSwa26	N	6334	10802	0	0	450									
#record		UrgSwa27	N	4381	7796	0	0	450									
#record		UrgSwa28	N	4753	9913	0	0	450									
#record		UrgSwa29	N	5357	6982	0	0	450									
#record		UrgSwa30	N	9393	7839	0	0	450									
#record		UrgSwa31	N	8702	6740	0	0	450									
#record		UrgSwa32	N	9677	6408	0	0	450									
#record		UrgSwa33	N	14527	5017	0	0	450									
#record		UrgSwa34	N	14817	3911	0	0	450									
#record		UrgSwa35	N	15997	4123	0	0	450									
#record		UrgSwa36	N	15864	5256	0	0	450									
#record		UrgSwa37	N	7368	10808	0	0	450									
#record		UrgSwa38	N	7576	8962	0	0	450									
#record		UrgSwa39	N	13213	7015	0	0	450									
#record		UrgSwa40	N	9328	9223	0	0	450									
#record		UrgSwa41	N	3348	8969	0	0	450									
#record		UrgSwa42	N	5304	8587	0	0	450									
#record		UrgSwa43	N	5796	9722	0	0	450									
#record		UrgSwa44	N	4498	11343	0	0	450									
#record		UrgSwa45	N	6076	7744	0	0	450									
#record		UrgSwa46	N	6340	6223	0	0	450									
#record		UrgSwa47	N	3474	6900	0	0	450									
#record		UrgSwa48	N	4416	6686	0	0	450									
#record		UrgSwa49	N	16821	9704	0	0	450									
#record		UrgSwa50	N	17778	8491	0	0	450									
#record		UrgSwa51	N	18017	9502	0	0	450									
#record		UrgSwa52	N	17130	6624	0	0	450									
#record		UrgSwa53	N	17873	7394	0	0	450									
#record		UrgSwa54	N	16867	7626	0	0	450									
#record		UrgSwa55	N	16696	8605	0	0	450									
#record		UrgSwa56	N	13377	10485	0	0	450									
#record		UrgSwa57	N	12714	9110	0	0	450									
#record		UrgSwa58	N	12386	11206	0	0	450									
#record		UrgSwa59	N	12167	10225	0	0	450									
#record		UrgSwa60	N	9293	10781	0	0	450									
#record		UrgSwa61	N	10833	6485	0	0	450									
#record		UrgSwa62	N	8440	10052	0	0	450									
#record		UrgSwa63	N	5718	11778	0	0	450									
#record		UrgSwa64	N	3102	7970	0	0	450									
#record		UrgSwa65	N	5339	10718	0	0	450									
#record		UrgSwa66	N	6978	12054	0	0	450									
#record		UrgSwa67	N	19125	9140	0	0	450									
#record		UrgSwa68	N	18681	8091	0	0	450									
#record		UrgSwa69	N	20244	8758	0	0	450									
#record		UrgSwa70	N	19890	9981	0	0	450									
#record		UrgSwa71	N	12321	12402	0	0	450									
#record		UrgSwa72	N	11059	12953	0	0	450									
#record		UrgSwa73	N	12855	13279	0	0	450									
#record		UrgSwa74	N	13798	12538	0	0	450									
#record		UrgSwa75	N	11087	9837	0	0	450									
#record		UrgSwa76	N	13779	9395	0	0	450									
#record		UrgSwa77	N	11518	11965	0	0	450									
#record		UrgSwa78	N	11286	10877	0	0	450									
#record		UrgSwa79	N	8237	11493	0	0	450									
#record		UrgSwa80	N	10933	7800	0	0	450									
#record		UrgSwa81	N	11871	6368	0	0	450									
#record		UrgSwa82	N	18600	10393	0	0	450									
#record		UrgSwa83	N	17401	10612	0	0	450									
#record		UrgSwa84	N	15965	10766	0	0	450									
#record		UrgSwa85	N	20893	10725	0	0	450									
#record		UrgSwa86	N	20856	9706	0	0	450									
#record		UrgSwa87	N	14117	13538	0	0	450									
#record		UrgSwa88	N	14963	12541	0	0	450									
#record		UrgSwa89	N	13228	14378	0	0	450									
#record		UrgSwa90	N	15363	13531	0	0	450									
#record		UrgSwa91	N	15753	9649	0	0	450									
#record		UrgSwa92	N	14787	11323	0	0	450									
#record		UrgSwa93	N	14498	10150	0	0	450									
#record		UrgSwa94	N	13451	11559	0	0	450									
#record		UrgSwa95	N	16291	13939	0	0	450									
#record		UrgSwa96	N	19772	12360	0	0	450									
#record		UrgSwa97	N	15761	14755	0	0	450									
#record		UrgSwa98	N	18616	12668	0	0	450									
#record		UrgSwa99	N	15629	17559	0	0	450									
#record		UrgSwa100	N	13963	17928	0	0	450									
#record		UrgSwa101	N	15303	15561	0	0	450									
#record		UrgSwa102	N	14459	15347	0	0	450									
#record		UrgSwa103	N	15093	16439	0	0	450									
#record		UrgSwa104	N	16062	16726	0	0	450									
#record		UrgSwa105	N	14096	16184	0	0	450									
#record		UrgSwa106	N	16067	11915	0	0	450									
#record		UrgSwa107	N	16477	12982	0	0	450									
#record		UrgSwa108	N	17174	12043	0	0	450									
#record		UrgSwa109	N	14749	14480	0	0	450									
#record		UrgSwa110	N	17507	13156	0	0	450									
#record		UrgSwa111	N	18359	11629	0	0	450									
#record		UrgSwa112	N	19610	11298	0	0	450									
#record		UrgSwa113	N	17500	15699	0	0	450									
#record		UrgSwa114	N	17257	14148	0	0	450									
#record		UrgSwa115	N	16919	16469	0	0	450									
#record		UrgSwa116	N	16234	15728	0	0	450									
#record		UrgSwa117	N	16677	14890	0	0	450									
#record		UrgSwa118	N	18311	13839	0	0	450									
#record		UrgSwa119	N	19486	13511	0	0	450									
#record		UrgSwa120	N	17966	14859	0	0	450									
#record		UrgSwa121	N	14494	18615	0	0	450									
#record		UrgSwa122	N	16150	18377	0	0	450									
#record		UrgSwa123	N	13813	17076	0	0	450									
#record		UrgSwa124	N	14795	17382	0	0	450									
#record		UrgSwa125	N	18485	17453	0	0	450									
#record		UrgSwa126	N	19043	14694	0	0	450									
#record		UrgSwa127	N	18584	15561	0	0	450									
#record		UrgSwa128	N	18179	16458	0	0	450									
#record		UrgSwa129	N	19118	16402	0	0	450									
#record		UrgSwa130	N	22678	15590	0	0	450									
#record		UrgSwa131	N	19953	16786	0	0	450									
#record		UrgSwa132	N	21151	15699	0	0	450									
#record		UrgSwa133	N	20208	14371	0	0	450									
#record		UrgSwa134	N	21813	14909	0	0	450									
#record		UrgSwa135	N	13036	18253	0	0	450									
#record		UrgSwa136	N	13597	18971	0	0	450									
#record		UrgSwa137	N	15283	18355	0	0	450									
#record		UrgSwa138	N	15264	19336	0	0	450									
#record		UrgSwa139	N	11036	20610	0	0	450									
#record		UrgSwa140	N	11392	19198	0	0	450									
#record		UrgSwa141	N	10513	19774	0	0	450									
#record		UrgSwa142	N	10704	21605	0	0	450									
#record		UrgSwa143	N	9918	20770	0	0	450									
#record		UrgSwa144	N	9335	19819	0	0	450									
#record		UrgSwa145	N	18960	20136	0	0	450									
#record		UrgSwa146	N	20428	20214	0	0	450									
#record		UrgSwa147	N	21439	22410	0	0	450									
#record		UrgSwa148	N	18151	21149	0	0	450									
#record		UrgSwa149	N	21394	20387	0	0	450									
#record		UrgSwa150	N	12426	20938	0	0	450									
#record		UrgSwa151	N	13224	20666	0	0	450									
#record		UrgSwa152	N	14299	20319	0	0	450									
#record		UrgSwa153	N	12716	21783	0	0	450									
#record		UrgSwa154	N	10075	22472	0	0	450									
#record		UrgSwa155	N	9372	21704	0	0	450									
#record		UrgSwa156	N	7916	20335	0	0	450									
#record		UrgSwa157	N	8754	20731	0	0	450									
#record		UrgSwa158	N	23217	19473	0	0	450									
#record		UrgSwa159	N	22494	20426	0	0	450									
#record		UrgSwa160	N	23473	20437	0	0	450									
#record		UrgSwa161	N	5930	21198	0	0	450									
#record		UrgSwa162	N	4994	21479	0	0	450									
#record		UrgSwa163	N	5425	20426	0	0	450									
#record		UrgSwa164	N	4481	20620	0	0	450									
#record		UrgSwa165	N	13465	19771	0	0	450									
#record		UrgSwa166	N	14351	19475	0	0	450									
#record		UrgSwa167	N	12607	19954	0	0	450									
