;		ItemList in NPC					
#ignore	\o042			; 인용부호 무시			
#exchange	#	\x20		; # => space			
;		25.01.2006					
							
#Table	Tab00	;파이터 액티브					
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05
#Record	0	TripleHit12	TripleHit13	-	-	-	-
#Record	1	SeverBone09	SeverBone10	-	-	-	-
#Record	2	RedSlash11	RedSlash12	-	-	-	-
#Record	3	SnearKick05	-	-	-	-	-
#Record	4	SnearShout04	SnearShout05	-	-	-	-
#Record	5	MightySoul09	MightySoul10	MightySoul11	-	-	-
#Record	6	PowerHit11	PowerHit12	PowerHit13	-	-	-
#Record	7	MoraleDecrease09	MoraleDecrease10	MoraleDecrease11	-	-	-
#Record	8	SpeedShield10	SpeedShield11	SpeedShield12	-	-	-
#Record	9	HarmDefect09	HarmDefect10	HarmDefect11	-	-	-
#Record	10	GreatSwing07	GreatSwing08	-	-	-	-
#Record	11	PowerDrain07	PowerDrain08	-	-	-	-
#Record	12	CrushStrike06	CrushStrike07	-	-	-	-
#Record	13	BashStrike06	BashStrike07	BashStrike08	-	-	-
#Record	14	WindyRaid06	WindyRaid07	WindyRaid08	-	-	-
#Record	15	CrossCounter01	-	-	-	-	-
#Record	16	Violence01	-	-	-	-	-
#Record	17	TomaHawk01	-	-	-	-	-
#Record	18	Buckler01	-	-	-	-	-
#Record	19	Neglect01	-	-	-	-	-
#Record	20	Flourish01	-	-	-	-	-
#Record	21	Dash01	-	-	-	-	-
#Record	22	Volley01	-	-	-	-	-
#Record	23	Discharge01	-	-	-	-	-
#Record	24	FatalShout01	FatalShout02	FatalShout03	FatalShout04	-	-
							
#Table	Tab01	;파이터 패시브					
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05
#Record	0	BraveMastery11	BraveMastery12	BraveMastery13	BraveMastery14	-	-
#Record	1	OHSwdMastery12	OHSwdMastery13	OHSwdMastery14	OHSwdMastery15	-	-
#Record	2	THSwdMastery10	THSwdMastery11	THSwdMastery12	THSwdMastery13	-	-
#Record	3	THAxeMastery10	THAxeMastery11	THAxeMastery12	THAxeMastery13	-	-
#Record	4	StrongFury01	StrongFury02	-	-	-	-
#Record	5	StrongEndure01	StrongEndure02	-	-	-	-
#Record	6	BackgroundDefenseG01	-	-	-	-	-
							
							
#Table	Tab02	;클레릭 액티브					
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05
#Record	0	Wield13	Wield14	Wield15	-	-	-
#Record	1	Heal18	Heal19	-	-	-	-
#Record	2	Blessing10	Blessing11	Blessing12	Blessing13	-	-
#Record	3	SafeProtection06	SafeProtection07	SafeProtection08	-	-	-
#Record	4	PsychicBlunt08	PsychicBlunt09	PsychicBlunt10	-	-	-
