;		ItemList in NPC					
#ignore	\o042			; 인용부호 무시			
#exchange	#	\x20		; # => space			
;		2006.01.25					
							
#Table	Tab00	;파이터 액티브					
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05
#Record	0	-	-	-	-	-	-
#Record	1	-	-	-	-	-	-
#Record	2	-	-	-	-	-	-
							
#Table	Tab01	;파이터 패시브					
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05
#Record	0	-	-	-	-	-	-
#Record	1	-	-	-	-	-	-
#Record	2	-	-	-	-	-	-
							
#Table	Tab02	;클레릭 액티브					
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05
#Record	0	-	-	-	-	-	-
#Record	1	-	-	-	-	-	-
#Record	2	-	-	-	-	-	-
							
#Table	Tab03	;클레릭 패시브					
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05
#Record	0	-	-	-	-	-	-
#Record	1	-	-	-	-	-	-
#Record	2	-	-	-	-	-	-
							
#Table	Tab04	;아처 액티브					
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05
#Record	0	-	-	-	-	-	-
#Record	1	-	-	-	-	-	-
#Record	2	-	-	-	-	-	-
							
#Table	Tab05	;아처 패시브					
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05
#Record	0	-	-	-	-	-	-
#Record	1	-	-	-	-	-	-
#Record	2	-	-	-	-	-	-
							
#Table	Tab06	;메이지 액티브					
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05
#Record	0	-	-	-	-	-	-
#Record	1	-	-	-	-	-	-
#Record	2	-	-	-	-	-	-
							
#Table	Tab07	;메이지 패시브					
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05
#Record	0	-	-	-	-	-	-
#Record	1	-	-	-	-	-	-
#Record	2	-	-	-	-	-	-
							
#Table	Tab08	;조커 액티브					
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05
#Record	0	BenTear03	BenTear04	BenTear05	BenTear06	-	-
#Record	1	NorthTear03	NorthTear04	NorthTear05	-	-	-
#Record	2	PowerBenTear03	PowerBenTear04	PowerBenTear05	PowerBenTear06	-	-
#Record	3	PowerNorthTear03	PowerNorthTear04	PowerNorthTear05	-	-	-
#Record	4	FitBlood02	FitBlood03	FitBlood04	FitBlood05	-	-
#Record	5	NorthBreeze01	NorthBreeze02	NorthBreeze03	NorthBreeze04	-	-
#Record	6	PowerNorthBreeze01	PowerNorthBreeze02	PowerNorthBreeze03	PowerNorthBreeze04	-	-
#Record	7	PerfectBody01	PerfectBody02	-	-	-	-
#Record	8	FitPoison01	FitPoison02	-	-	-	-
#Record	9	FragranceOfPoison01	-	-	-	-	-
							
#Table	Tab09	;조커 패시브					
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05
#Record	0	ClawMastery03	ClawMastery04	ClawMastery05	ClawMastery06	-	-
#Record	1	DSwordMastery01	DSwordMastery02	DSwordMastery03	DSwordMastery04	DSwordMastery05	-
#Record	2	CleaveMastery02	CleaveMastery03	CleaveMastery04	CleaveMastery05	CleaveMastery06	-
#Record	3	BackgroundDefenseJ01	-	-	-	-	-
							
#Table	Tab10	;연금술 					
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]
