;		ItemList in NPC					
#ignore	\o042			; 인용부호 무시			
#exchange	#	\x20		; # => space			
;		25.01.2006					
							
#Table	Tab00	;파이터 액티브					
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05
#Record	0	TripleHit07	TripleHit08	TripleHit09	TripleHit10	TripleHit11	-
#Record	1	SeverBone06	SeverBone07	SeverBone08	-	-	-
#Record	2	RedSlash07	RedSlash08	RedSlash09	RedSlash10	-	-
#Record	3	SnearKick03	SnearKick04	-	-	-	-
#Record	4	SnearShout03	-	-	-	-	-
#Record	5	MightySoul05	MightySoul06	MightySoul07	MightySoul08	-	-
#Record	6	PowerHit06	PowerHit07	PowerHit08	PowerHit09	PowerHit10	-
#Record	7	MoraleDecrease05	MoraleDecrease06	MoraleDecrease07	MoraleDecrease08	-	-
#Record	8	SpeedShield06	SpeedShield07	SpeedShield08	SpeedShield09	-	-
#Record	9	HarmDefect05	HarmDefect06	HarmDefect07	HarmDefect08	-	-
#Record	10	GreatSwing03	GreatSwing04	GreatSwing05	GreatSwing06	-	-
#Record	11	PowerDrain03	PowerDrain04	PowerDrain05	PowerDrain06	-	-
#Record	12	BashStrike01	BashStrike02	BashStrike03	BashStrike04	BashStrike05	-
#Record	13	CrushStrike01	CrushStrike02	CrushStrike03	CrushStrike04	CrushStrike05	-
#Record	14	WindyRaid02	WindyRaid03	WindyRaid04	WindyRaid05	-	-
#Record	15	DegroSlash01	-	-	-	-	-
#Record	16	Deeper01	-	-	-	-	-
#Record	17	Release01	-	-	-	-	-
							
#Table	Tab01	;파이터 패시브					
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05
#Record	0	BraveMastery07	BraveMastery08	BraveMastery09	BraveMastery10	-	-
#Record	1	OHSwdMastery07	OHSwdMastery08	OHSwdMastery09	OHSwdMastery10	OHSwdMastery11	-
#Record	2	THSwdMastery06	THSwdMastery07	THSwdMastery08	THSwdMastery09	-	-
#Record	3	THAxeMastery06	THAxeMastery07	THAxeMastery08	THAxeMastery09	-	-
							
#Table	Tab02	;클레릭 액티브					
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05
#Record	0	ExplosionNova01	ExplosionNova02	ExplosionNova03	-	-	-
#Record	1	Wield08	Wield09	Wield10	Wield11	Wield12	-
#Record	2	Heal11	Heal12	Heal13	Heal14	Heal15	Heal16
#Record	3	Heal17	-	-	-	-	-
#Record	4	Blessing06	Blessing07	Blessing08	Blessing09	-	-
#Record	5	MentalShout05	MentalShout06	MentalShout07	-	-	-
#Record	6	DivineShield06	DivineShield07	DivineShield08	DivineShield09	DivineShield10	-
#Record	7	Restore07	Restore08	Restore09	Restore10	Restore11	Restore12
#Record	8	DarknessProtection03	DarknessProtection04	-	-	-	-
