;	Shine NPC table(ShineNPC.txt)		
#ignore	\o042		; 인용부호 무시
#exchange	#	\x20	; # => space
;#delimiter	\x20		
#Table	Script		
#ColumnType	INDEX	STRING[64]	
#ColumnName	ScrIndex	ScrString	
#Record	KQReturn60	The Mini Dragon ore has regenerated.	
#Record	KQReturn50	Dig as much Minidragon mineral as you can for the limited time.	
#Record	KQReturn40	Not much time left. Try harder.	
#Record	KQReturn30	Move to Elderine in 30 seconds. Dig the mineral harder.	
#Record	KQReturn20	Move to Elderine in 20 seconds. Time is almost up.	
#Record	KQReturn10	Move to Elderine in 10 seconds.	
#Record	KQReturn50	Move to Elderine in 5 seconds.	
			
#Record	KQFReturn30	Move to Elderine in 30 seconds.	
#Record	KQFReturn20	Move to Elderine in 20 seconds.
#Record	KQFReturn10	Move to Elderine in 10 seconds.
#Record	KQFReturn5	Move to Elderine in 5 seconds.
#End		
