;	Shine NPC table(ShineNPC.txt)		
#ignore	\o042		; 인용부호 무시
#exchange	#	\x20	; # => space
;#delimiter	\x20		
#Table	Script		
#ColumnType	INDEX	STRING[128]	
#ColumnName	ScrIndex	ScrString	
			
#Record	Mob_01	I'm exhausted and I want to get some rest.	
#Record	Mob_02	I wonder how the village people have been these days.	
#Record	Mob_03	I want to go home.	
#Record	Mob_04	Eeek! What is that sound? The keeper came early?!	
#Record	Mob_05	Ahh! There's a human!	
#Record	Notice_01	Devil monster has appeared.	
#Record	Notice_02	Devil monster has been killed.	
#Record	Boss_01	Such a useless human being! I will show you the power of devil.	
#Record	Boss_02	Kill all of them!	
#Record	Boss_03	"You cannot accomplish anything without me! Prepare to die, you pathetic warriors!"	
#Record	Foras_01	This will be the end of you!	
#Record	Foras_02	"After all, humans are somewhat useful. Thank you!"	
#Record	Foras_03	We're free!!! Thank you!	
#Record	Foras_04	We are finally free from the devil! Hooray!	
#Record	KQReturn60	You will be teleported out of the dungeon in 1 minute.	
#Record	KQReturn30	You will be teleported out of the dungeon in 30 seconds.	
#Record	KQReturn20	You will be teleported out of the dungeon in 20 seconds.	
#Record	KQReturn10	You will be teleported out of the dungeon in 10 seconds.	
#Record	KQReturn5	You will be teleported out of the dungeon in 5 seconds.	
			
#End			
