;		Project-G FieldInform																																																																													
																																			; 맵에서 은빛날개나 리콜스크롤 사용 자체를 막을때(여기 들어오면 입구로만 나갈수 있음)																																												
#Ignore	\o042						; 인용부호 무시																												;	CanRecall에 0을 넣음																																											
#Exchange	#	\x20					; # => space																																																																								
;#delimeter	\x20																																		; 맵 안에서 은빛날개나 리콜스크롤을 사용하여 나갈 수는 있지만 은빛날개의 위치를 지정해서 들어올 수는 없을때(입구로만 들어올수 있음)																																												
#Table	FieldList																																		;	"CanRecall에는 1을, CanSilverWingLocSet에는 0을 넣음"																																											
;																				20070417 추가(Chamsol)																																																											
#ColumnType	String[13]	String[4]	String[4]	BYTE	String[32]	byte	dwrd	dwrd	word	String[32]	Byte	Byte	Byte	Byte	Byte	Byte	Byte	Byte	Byte	BYTE	BYTE	BYTE	BYTE	String[12]	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	DWRD	BYTE		Byte	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	WORD	WORD	BYTE		BYTE		BYTE																										
;													CanAttack																																																																		
#ColumnName	MapIDClient	SubFrom	SubTo	Serial	MapName	KQ	xsize	ysize	immortalsec	ScriptName	ItemDropByKilled	Pker	EnemyGuild	Party	Monster	Summoned	IsPKKQ	IsFreePK	IsPartyBattle	NameHide	LinkIN	LinkOut	SystemMap	RegenCity	RegenXA	RegenYA	RegenXB	RegenYB	RegenXC	RegenYC	RegenXD	RegenYD	RegenSpot		CanRestart	CanTrade	CanMiniHouse	CanItem	CanSkill	Chat	Shout	CanBooth	CanProduce	CanRide	CanStone	CanParty	ExpLostAtDeadByMob	ExpLostAtDeadByPly	UsrSubLayer		CheckSum		Fiesta																										
;#Record	Rou	-	-	0 	Roumen	0 	256 	256 	5000 	-	0 	1 	0 	0 	2 	0 	0 	0 	0 	0 	1 	1 	0 	Rou	4134	6488	0	0	0	0	0	0	1		1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	0 		0 		0 																										
#Record	Rou	-	-	0 	Roumen	0 	256 	256 	5000 	-	0 	1 	1 	0 	2 	0 	0 	0 	0 	0 	1 	1 	0 	Rou	4134	6488	0	0	0	0	0	0	1		1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	0 		0 		0 																										
#Record	RouCos01	-	-	1 	Sand#Beach	0 	512 	512 	5000 	-	0 	1 	0 	0 	2 	0 	0 	0 	0 	0 	1 	1 	0 	RouCos01	8839	13139	0	0	0	0	0	0	1		1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1000 	0 	0 		1 		1 																										
#Record	RouCos02	-	-	2 	Forest#of#Tides	0 	512 	512 	5000 	-	0 	1 	0 	0 	2 	0 	0 	0 	0 	0 	1 	1 	0 	RouCos02	9647	9002	0	0	0	0	0	0	1		1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1000 	0 	0 		2 		2 																										
#Record	RouCos03	-	-	3 	Sea#of#Greed	0 	512 	512 	5000 	-	0 	1 	1 	0 	2 	0 	0 	0 	0 	0 	1 	1 	0 	RouCos03	19699	7772	0	0	0	0	0	0	1		1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1000 	0 	0 		3 		0 																										
#Record	RouCos04	-	-	4 	Captain#Mara's#Pirate#Hideout	0 	256 	256 	5000 	-	0 	1 	1 	0 	2 	0 	0 	0 	0 	0 	1 	1 	0 	Rou	4134	6488	0	0	0	0	0	0	1		1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1000 	0 	0 		4 		1 																										
#Record	RouTemDn01	-	-	5 	Luminous#Stone#1	0 	256 	256 	5000 	-	0 	1 	1 	0 	2 	0 	0 	0 	0 	0 	1 	1 	0 	RouTemDn01	6252	1156	0	0	0	0	0	0	1		1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1000 	0 	0 		5 		2 																										
#Record	RouTemDn02	-	-	6 	Luminous#Stone#2	0 	256 	256 	5000 	-	0 	1 	1 	0 	2 	0 	0 	0 	0 	0 	1 	1 	0 	RouTemDn02	5203	828	0	0	0	0	0	0	1		1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1000 	0 	0 		6 		0 																										
#Record	RouVal01	-	-	7 	Forest#of#Mist	0 	512 	512 	5000 	-	0 	1 	0 	0 	2 	0 	0 	0 	0 	0 	1 	1 	0 	RouVal01	13197	7470	0	0	0	0	0	0	1		1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1000 	0 	0 		7 		1 																										
#Record	RouVal02	-	-	8 	Burning#Hill	0 	256 	256 	5000 	-	0 	1 	1 	0 	2 	0 	0 	0 	0 	0 	1 	1 	0 	RouVal02	6049	3948	0	0	0	0	0	0	1		1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1000 	0 	0 		8 		0 																										
#Record	Eld	-	-	9 	Elderine	0 	512 	512 	5000 	-	0 	1 	1 	0 	2 	0 	0 	0 	0 	0 	1 	1 	0 	Eld	14618	13435	0	0	0	0	0	0	1		1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	0 		9 		1 																										
#Record	EldCem01	-	-	10 	Moonlight#Tomb	0 	256 	256 	5000 	-	0 	1 	1 	0 	2 	0 	0 	0 	0 	0 	1 	1 	0 	EldCem01	11455	11386	0	0	0	0	0	0	1		1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1000 	0 	0 		10 		1 																										
#Record	EldCem02	-	-	11 	Vine#Tomb	0 	256 	256 	5000 	-	0 	1 	1 	0 	2 	0 	0 	0 	0 	0 	1 	1 	0 	EldCem02	1207	995	0	0	0	0	0	0	1		1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1000 	0 	0 		11 		2 																										
#Record	EldGbl01	-	-	12 	Goblin#Camp	0 	256 	256 	5000 	-	0 	1 	1 	0 	2 	0 	0 	0 	0 	0 	1 	1 	0 	EldGbl01	6495	7249	0	0	0	0	0	0	1		1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1000 	0 	0 		12 		0 																										
