;	MobMiscData																			
;																				
																				
;#Ignore	\o042	; 인용부호 무시																		
;#Exchange	#	\x20	;	# => space																
#Delimiter	\x20	;	나중에 space를 delimiter로 넣고 delimiter 제거기능 넣을것!!!!																	
																				
																				
#Table	SkillBreedMob																			
#ColumnType	Byte	String[33]	String[33]	BYTE	Index	Index	WORD	Index	DWRD	String[33]	Index	DWRD	WORD	WORD	String[33]	Index	Index	Index	Byte	
#ColumnName	Serial	Skill	MobIndex	SummonNum	AI	RegenLoc	RegenDistance	MobRoam	LifeTime	AbState	TriggerObject	TriggerRange	Delay	ExplNo	Explosion	ExplosionWhere	Debuff	MultiTarget	CheckSum	
#Record	0	Entrap01	EntrapFlower	1	Root	Caster	0	-	150000	StaEntrapHide	Enemy	100	0	1	EntrapFlowerWide01	MyObj	-	-	0	; 덫
#Record	1	Entrap02	EntrapFlower	1	Root	Caster	0	-	150000	StaEntrapHide	Enemy	100	0	1	BlindFlowerWide01	MyObj	-	-	1	; 덫
#Record	2	Entrap03	EntrapFlower	1	Root	Caster	0	-	150000	StaEntrapHide	Enemy	100	0	1	SlowFlowerWide01	MyObj	-	-	2	; 덫
#Record	3	Entrap04	EntrapFlower	1	Root	Caster	0	-	150000	StaEntrapHide	Enemy	100	0	1	BloodFlowerWide01	MyObj	-	-	3	; 덫
#Record	4	Entrap05	EntrapFlower	1	Root	Caster	0	-	150000	StaEntrapHide	Enemy	100	0	1	ShockFlowerWide01	MyObj	-	-	4	; 덫
#Record	5	SlowShot01	SlowShot_arrow	1	Chase	Caster	0	-	60000	-	Target	30	0	1	SlowShot_arrow01	TargetObj	-	-	5	;유도화살
#Record	6	Summon01	Skeleton_sum	3	Rampage	Target	0	-	60000	-	-	0	0	0	-	-	Dead	-	6	;소환물
#Record	7	FirePole01	FirePole_sum	1	Roam	Target	0	-	150000	-	Always	0	7000	30000	ThunderBolt05	MyObj	Dead	-	7	
;#Record	8	PsySumSkill01	PsykenDog	1	Rampage	Caster	0	-	0	-	-	0	10000	10000	-	-	-	-	8	
#Record	9	IDNerpaSlowShot01	SlowShot_arrow	1	Chase	Caster	0	-	60000	-	Target	30	0	1	KQRoboAtkSk3	TargetObj	-	-	9	;유도화살
#Record	10	IDFireSellPole01	FirePole_sum	1	Roam	Target	0	-	60000	-	Always	0	10000	10000	ThunderBolt05	MyObj	Dead	-	10	
;#Record	11	KamaSummonSkill1	KQ_SK_Sudder	2	Rampage	Caster	0	-	180000	-	-	0	0	0	-	-	-	-	11	
;#Record	12	KamaSummonSkill2	KQ_SK_Sudder2	3	Rampage	Caster	0	-	180000	-	-	0	0	0	-	-	-	-	12	
;#Record	13	KamaSummonSkill3	KQ_SK_Elec	2	Rampage	Caster	0	-	180000	-	-	0	0	0	-	-	-	-	13	
;#Record	14	KamaSummonSkill4	KQ_SK_Elec2	3	Rampage	Caster	0	-	180000	-	-	0	0	0	-	-	-	-	14	
;#Record	15	KalBanSummonSkill1	KQ_SK_Elec2	5	Rampage	Caster	0	-	180000	-	-	0	0	0	-	-	-	-	15	
;#Record	16	KamaSummonSkill100	KQ_SK_SkelArcher2	3	Rampage	Caster	0	-	180000	-	-	0	0	0	-	-	-	-	16	
;#Record	17	KamaSummonSkill300	KQ_SK_SkelArcher3	3	Rampage	Caster	0	-	180000	-	-	0	0	0	-	-	-	-	17	
;#Record	18	FireBombBoogy	BombBoogy	1	Chase	Caster	0	-	60000	-	Target	30	0	1	BBoogyBomb	TargetObj	-	-	18	;유도화살
#Record	19	CallBoogyGuardian	BoogyGuardian	1	Rampage	Caster	0	-	150000	-	-	0	0	0	-	-	-	-	19	;소환물
;	20	CallNestGuardian	ID_NestGuardian	2	Rampage	Caster	0	-	150000	-	-	0	0	0	-	-	-	-	20	;소환물
;	21	CallNestGuard	ID_NestGuard	15	Rampage	Caster	0	-	150000	-	-	0	0	0	-	-	-	-	21	;소환물
#Record	22	KBoogyEntangle	BombBoogy01	1	Roam	Target	0	-	15100	-	Always	0	15000	1	BombBoogy01Bomb	MyObj	Dead	-	22	;소환물
#Record	23	KBoogyToggle01	BombBoogy02	1	Roam	Target	0	-	15100	-	Always	0	15000	1	BombBoogy02Bomb	MyObj	Dead	-	23	;소환물
#Record	24	KBoogySumon04	BombBoogy04	2	Chase	Caster	0	-	60000	-	Enemy	30	0	1	CallBoogyGuardian	MyObj	-	-	24	;소환물
#Record	25	ECrabSummon	ID_NestCrab	1	Rampage	Caster	0	-	180000	-	-	0	0	0	-	-	-	-	25	;소환물
