;	몹의 잡담							
#Ignore	\o042		; 인용부호 무시					
;#Exchange	#	\x20	; # => space					
;#delemeter	\x20		스페이스는 Delimiter 아님					
#Table	PIECE							
#ColumnType		Index	Dwrd	Dwrd	String[65]	String[65]	String[65]	String[65]
#ColumnName		MobIndex	Rate0	Rate1	Script0	Script1	Script2	Script3
								
#Table	ATTACK							
#ColumnType		Index	Dwrd	Dwrd	String[65]	String[65]	String[65]	String[65]
#ColumnName		MobIndex	Rate0	Rate1	Script0	Script1	Script2	Script3
								
#Table	DAMAGED							
#ColumnType		Index	Dwrd	Dwrd	String[65]	String[65]	String[65]	String[65]
#ColumnName		MobIndex	Rate0	Rate1	Script0	Script1	Script2	Script3
								
#Table	DEAD							
#ColumnType		Index	Dwrd	Dwrd	String[65]	String[65]	String[65]	String[65]
#ColumnName		MobIndex	Rate0	Rate1	Script0	Script1	Script2	Script3
								
#Table	HELPMAIN							
#ColumnType		Index	Dwrd	Dwrd	String[65]	String[65]	String[65]	String[65]
#ColumnName		MobIndex	Rate0	Rate1	Script0	Script1	Script2	Script3
								
#Table	HELPSUB							
#ColumnType		Index	Dwrd	Dwrd	String[65]	String[65]	String[65]	String[65]
#ColumnName		MobIndex	Rate0	Rate1	Script0	Script1	Script2	Script3
								
#Table	RACERESCUE							
#ColumnType		Index	Dwrd	Dwrd	String[65]	String[65]	String[65]	String[65]
#ColumnName		MobIndex	Rate0	Rate1	Script0	Script1	Script2	Script3
								
								
								
								
								
								
#RecordIn	PIECE	Slime	1800000	3400000	Press Q to recover your HP and E for your SP.	Welcome to the world of Fiesta!	I am Slime!	"Welcome, nice to meet you."
#RecordIn	ATTACK	Slime	50	0	Every level up gives you 1 free stat point hehe..	Hi-ya!	*slurk* *slurk* *slurk*	Slippery attack! Hehehe.
#RecordIn	DAMAGED	Slime	50	0	Press C to find out what free stat point is~~	Welcome to... ouch.. that hurts.	Ow...it hurts...it really hurts!	I can bounce back from your attacks...it's a unique skill of mine!
#RecordIn	DEAD	Slime	50	0	You can view the map larger by pressing M.	-	Oh no--so soon?	I will tell the king about this! He'll get you for sure!
#RecordIn	PIECE	HeroSlime	1800000	3400000	You will suffer if you think I'm weak!	You think I'm pretty? You have good taste.	I'm so cute~heh.	"What is this ""named"" item I'm holding?"
#RecordIn	ATTACK	HeroSlime	50	0	"Muhahaha, give it your best shot.! I will prevail!"	I will avenge my Slime comrades!	The cute ones can be dangerous too!	How do you like that? Slimes aren't weaklings!
