	;	Shine NPC table(ShineNPC.txt)																										
	#ignore	\o042				; 인용부호 무시																						
	#exchange	#	\x20			; # => space																						
	#delimiter	\x20				; Space is delimiter																						
																												
	#Table	ShineNPC																										
	#ColumnType		STRING[33]	STRING[20]	DWRD	DWRD	WORD	BYTE	INDEX	INDEX																		
	#ColumnName		MobName	Map	Coord-X	Coord-Y	Direct	NPCMenu	Role	RoleArg0																		
																												
	#Table	LinkTable																										
	#ColumnType									Index	String[33]	String[33]	DWRD	DWRD	WORD	BYTE												
	#ColumnName									argument	MapServer	MapClient	Coord-X	Coord-Y	Direct	Party												
																												
																												
;	루맨 npc																											
	#recordin	ShineNPC	RouSmithJames	RouN	5645	8824	-62	1	Merchant	Weapon																		
	#recordin	ShineNPC	RouSoulMctJulia	RouN	7305	8999	60	1	Merchant	SoulStone																		
	#recordin	ShineNPC	RouTownChiefRoumenus	RouN	6208	6405	-74	1	ClientMenu	-																		
	#recordin	ShineNPC	RouWeaponTitleMctZach	RouN	5709	8541	215	1	Merchant	WeaponTitle																		
	#recordin	ShineNPC	RouGaianMaria	RouN	5769	6787	-176	1	QuestNpc	Quest																		
	#recordin	ShineNPC	RouSkillRubi	RouN	6307	7147	-74	1	Merchant	Skill																		
	#recordin	ShineNPC	RouItemMctPey	RouN	6992	6571	-120	1	Merchant	Item																		
	#recordin	ShineNPC	GuildItemMct	RouN	6845	5466	-153	1	Merchant	Guild																		
	#recordin	ShineNPC	RouStoreRaina	RouN	5231	7416	-19	1	StoreManager	-																		
;	#recordin	ShineNPC	RouFurnitureMctZzing	Rou				1	-	-																		
	#recordin	ShineNPC	RouRookieGuideRaemi	RouN	6885	7141	24	1	QuestNpc	Quest																		
;	#recordin	ShineNPC	RouDiggerPalmers	Rou				1	-	-																		
	#recordin	ShineNPC	RouGrandfatherRobin	RouN	6907	8389	-156	1	QuestNpc	Quest																		
;	자동 길찾기 관련 기존 게이트 NPC 분리																											
	#recordin	ShineNPC	RouGaianMaria	Rou	4932	4107	-157	1	QuestNpc	Quest																		
	#recordin	ShineNPC	RouDiggerPalmers	RouCos01	12992	14264	-80	1	QuestNpc	Quest																		
	#recordin	ShineNPC	EldDiggerRoyquin	RouCos02	19858	10083	90	1	QuestNpc	Quest																		
	#recordin	ShineNPC	EldGaianBjurin	RouCos03	6819	14834	-119	1	QuestNpc	Quest																		
	#recordin	ShineNPC	RouDiggerDolTurn	RouCos03	19282	3388	-165	1	QuestNpc	Quest																		
	#recordin	ShineNPC	RouDiggerPalmers	EldCem01	528	7598	-98	1	QuestNpc	Quest																		
	#recordin	ShineNPC	EldDiggerRoyquin	EldGbl01	11095	6327	39	1	QuestNpc	Quest																		
	#recordin	ShineNPC	RouDiggerPalmers	Urg	1979	2436	175	1	QuestNpc	Quest																		
	#recordin	ShineNPC	RouDiggerPalmers	EchoCave	2946	2462	166	1	QuestNpc	Quest																		
	#recordin	ShineNPC	EldDiggerRoyquin	EchoCave	22252	24065	-15	1	QuestNpc	Quest																		
	#recordin	ShineNPC	RouDiggerDolTurn	EchoCave	8631	21171	-20	1	QuestNpc	Quest																		
	#recordin	ShineNPC	RouDiggerPalmers	WindyCave	3326	2769	137	1	QuestNpc	Quest																		
	#recordin	ShineNPC	EldDiggerRoyquin	WindyCave	23562	22850	136	1	QuestNpc	Quest																		
	#recordin	ShineNPC	RouDiggerPalmers	GoldCave	2948	2678	154	1	QuestNpc	Quest																		
;	#recordin	ShineNPC	EldDiggerRoyquin	GoldCave	23063	22905	155	1	QuestNpc	Quest																		
;	루멘 마을 가구상인 NPC																											
	#recordin	ShineNPC	RouFurnitureForestTom	RouN	6031	8477	127	1	Merchant	Item																		
;	루멘 마을이동 NPC																											
