	;	Shine Quest table(ShineQuest)											
	#ignore	\o042				;인용부호무시							
	#exchange	#	\x20			;#=>space							


	#Table	Header				;	공통부분						
	#ColumnType		WORD	STRING[33]	WORD	WORD	STRING[512]	STRING[192]	STRING[128]	STRING[192]	STRING[33]	STRING[33]	WORD
	#ColumnName		QuestHandle	Title	LevLow	LevHigh	ReceiveScript	MissionScript	ProgressScript	CompleteScript	StartNPC	StopNPC	TimeLimit(min)
													
	#Table	Reward											
	#ColumnType		WORD		BYTE	INDEX	DWRD	STRING[33]	BYTE				
	#ColumnName		QuestHandle		Flag	Type	Quantity	ItemName	ItemUpgrade				
													
	#Table	Looting											
	#ColumnType		WORD		STRING[33]	STRING[33]	BYTE	WORD					
	#ColumnName		QuestHandle		Mob	Item	Number	Permill					

	#Table	Hunting											
	#ColumnType		WORD		STRING[33]	WORD							
	#ColumnName		QuestHandle		Mob	Number							

	#Table	Produce											
	#ColumnType		WORD		STRING[33]	STRING[33]	STRING[33]	STRING[33]	STRING[33]	STRING[33]	DWRD	DWRD	DWRD
	#ColumnName		QuestHandle		RawItem0	RawItem1	RawItem2	RawItem3	ToItem	Map	CenterX	CenterY	Region

	#Table	Meeting											
	#ColumnType		WORD										
	#ColumnName		QuestHandle										
													
;	일반 퀘스트 테이블												
;	멧돼지 사냥												
	#recordin	Header	0	멧돼지#사냥	1	6	일부#사육하던#멧돼지들이#우리를#탈출하여#마을#터전#곳곳을#쑥대밭으로#만들고#다녀#마을#농부들의#성화가#말이#아닐세.#자네가#진정시켜#줄#수#있겠나?#내#사례는#톡톡히#치르겠네.	북쪽#및#남쪽#해안가의#멧돼지를#잡고#그#증표로#멧돼지의#송곳니#10개를#얻어#가이안#템플러에게#가져와라.	다#진정#시켰나?	고맙네.#자네#덕분에#농부들이#맘놓고#일할#수#있겠구먼.	GaianTemplarMaria	GaianTemplarMaria	0
	#recordin	Looting	0		_Boar	BoarCanineTooth	10	9000					
	#recordin	Reward	0		1	Experience	11	-	0				
	#recordin	Reward	0		1	Cen	110	-	0				
;	늑대의 마을 주민 습격												
	#recordin	Header	1	늑대의#마을#주민#습격	3	8	"요즘#늑대#때문에#주민들이#불안에#떨고#있네,#자네가#늑대#20마리#정도#잡아다#주면#주민들이#좀#더#편하게#살#수#있을#텐데#말이야….#아#물론#많이#잡아오면#많이#잡아#올수록#좋지.#보상은#할테니#걱정#말고#많이#잡아오기나#하게나.#아#그리고,#자네를#못#믿어서#이러는#건#아니지만#잡았다는#증거로#늑대의#가죽#20개를#가져오게.#그럼#수고하게.##"	북쪽#및#남쪽#해안가에#있는#늑대#및#굶주린#늑대를#잡아#가죽#20개를#구해#가이안#템플러에게#가져와라.	늑대들이#없어져야#할#텐데…#다#구해왔나?	오#드디어#해냈군!#이거#마을을#대표해서#감사의#표시를#전하오.	GaianTemplarMaria	GaianTemplarMaria	0
	#recordin	Looting	1		_Wolf	WolfLeather	20	800					
	#recordin	Reward	1		1	Experience	15	-	0				
	#recordin	Reward	1		1	Cen	150	-	0				
;	마법사들의 부탁												
